path,type,required,constraints,description
ITR.ITR4.IncomeDeductions.PropertyDetails[].AddressDetailWithZipCode.StateCode,string,Y,"{""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""enum"":[""01"",""02"",""03"",""04"",""05"",""06"",""07"",""08"",""09"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"",""31"",""32"",""33"",""34"",""35"",""36"",""37"",""99""]}",01-Andaman and Nicobar islands; 02-Andhra Pradesh; 03-Arunachal Pradesh; 04-Assam; 05-Bihar; 06-Chandigarh; 07-Dadra Nagar and Haveli; 08-Daman and Diu; 09- Delhi; 10- Goa; 11-Gujarat; 12- Haryana; 13- Himachal Pradesh; 14-Jammu and Kashmir; 15- Karnataka; 16- Kerala; 17- Lakshadweep; 18-Madhya Pradesh; 19-Maharashtra; 20-Manipur; 21-meghalaya; 22-Mizoram; 23-Nagaland; 24- Odisha; 25- Puducherry; 26- Punjab; 27-Rajasthan; 28- Sikkim; 29-Tamil Nadu; 30- Tripura; 31-Uttar Pradesh; 32- West Bengal; 33- Chhattisgarh; 34- Uttarakhand; 35- Jharkhand; 36- Telangana; 37- Ladakh; 99- Foreign
ITR.ITR4.IncomeDeductions.PropertyDetails[].AddressDetailWithZipCode.CountryCode,string,Y,"{""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""enum"":[""93"",""1001"",""355"",""213"",""684"",""376"",""244"",""1264"",""1010"",""1268"",""54"",""374"",""297"",""61"",""43"",""994"",""1242"",""973"",""880"",""1246"",""375"",""32"",""501"",""229"",""1441"",""975"",""591"",""1002"",""387"",""267"",""1003"",""55"",""1014"",""673"",""359"",""226"",""257"",""238"",""855"",""237"",""1"",""1345"",""236"",""235"",""56"",""86"",""9"",""672"",""57"",""270"",""242"",""243"",""682"",""506"",""225"",""385"",""53"",""1015"",""357"",""420"",""45"",""253"",""1767"",""1809"",""593"",""20"",""503"",""240"",""291"",""372"",""251"",""500"",""298"",""679"",""358"",""33"",""594"",""689"",""1004"",""241"",""220"",""995"",""49"",""233"",""350"",""30"",""299"",""1473"",""590"",""1671"",""502"",""1481"",""224"",""245"",""592"",""509"",""1005"",""6"",""504"",""852"",""36"",""354"",""91"",""62"",""98"",""964"",""353"",""1624"",""972"",""5"",""1876"",""81"",""1534"",""962"",""7"",""254"",""686"",""850"",""82"",""965"",""996"",""856"",""371"",""961"",""266"",""231"",""218"",""423"",""370"",""352"",""853"",""389"",""261"",""265"",""60"",""960"",""223"",""356"",""692"",""596"",""222"",""230"",""269"",""52"",""691"",""373"",""377"",""976"",""382"",""1664"",""212"",""258"",""95"",""264"",""674"",""977"",""31"",""687"",""64"",""505"",""227"",""234"",""683"",""15"",""1670"",""47"",""968"",""92"",""680"",""970"",""507"",""675"",""595"",""51"",""63"",""1011"",""48"",""14"",""1787"",""974"",""262"",""40"",""8"",""250"",""1006"",""290"",""1869"",""1758"",""1007"",""508"",""1784"",""685"",""378"",""239"",""966"",""221"",""381"",""248"",""232"",""65"",""1721"",""421"",""386"",""677"",""252"",""28"",""1008"",""211"",""35"",""94"",""249"",""597"",""1012"",""268"",""46"",""41"",""963"",""886"",""992"",""255"",""66"",""670"",""228"",""690"",""676"",""1868"",""216"",""90"",""993"",""1649"",""688"",""256"",""380"",""971"",""44"",""2"",""1009"",""598"",""998"",""678"",""58"",""84"",""1284"",""1340"",""681"",""1013"",""967"",""260"",""263"",""9999""]}"," 93 : AFGHANISTAN, 1001 : ÅLAND ISLANDS, 355 : ALBANIA, 213 : ALGERIA, 684 : AMERICAN SAMOA, 376 : ANDORRA, 244 : ANGOLA, 1264 : ANGUILLA, 1010 : ANTARCTICA, 1268 : ANTIGUA AND BARBUDA, 54 : ARGENTINA, 374 : ARMENIA, 297 : ARUBA, 61 : AUSTRALIA, 43 : AUSTRIA, 994 : AZERBAIJAN, 1242 : BAHAMAS, 973 : BAHRAIN, 880 : BANGLADESH, 1246 : BARBADOS, 375 : BELARUS, 32 : BELGIUM, 501 : BELIZE, 229 : BENIN, 1441 : BERMUDA, 975 : BHUTAN, 591 : BOLIVIA (PLURINATIONAL STATE OF), 1002 : BONAIRE, SINT EUSTATIUS AND SABA, 387 : BOSNIA AND HERZEGOVINA, 267 : BOTSWANA, 1003 : BOUVET ISLAND, 55 : BRAZIL, 1014 : BRITISH INDIAN OCEAN TERRITORY, 673 : BRUNEI DARUSSALAM, 359 : BULGARIA, 226 :  BURKINA FASO, 257 : BURUNDI, 238 : CABO VERDE, 855 : CAMBODIA, 237 : CAMEROON, 1 : CANADA, 1345 : CAYMAN ISLANDS, 236 : CENTRAL AFRICAN REPUBLIC, 235 : CHAD, 56 : CHILE, 86 : CHINA, 9 : CHRISTMAS ISLAND, 672 : COCOS (KEELING) ISLANDS, 57 : COLOMBIA, 270 : COMOROS, 242 : CONGO, 243 : CONGO (DEMOCRATIC REPUBLIC OF THE), 682 : COOK ISLANDS, 506 : COSTA RICA, 225 : CÔTE D'IVOIRE, 385 : CROATIA, 53 : CUBA, 1015 : CURAÇAO, 357 : CYPRUS, 420 : CZECHIA, 45 : DENMARK, 253 : DJIBOUTI, 1767 : DOMINICA, 1809 : DOMINICAN REPUBLIC, 593 : ECUADOR, 20 : EGYPT, 503 : EL SALVADOR, 240 : EQUATORIAL GUINEA, 291 : ERITREA, 372 : ESTONIA, 251 : ETHIOPIA, 500 : FALKLAND ISLANDS (MALVINAS), 298 : FAROE ISLANDS, 679 : FIJI, 358 : FINLAND, 33 : FRANCE, 594 : FRENCH GUIANA, 689 : FRENCH POLYNESIA, 1004 : FRENCH SOUTHERN TERRITORIES, 241 : GABON, 220 : GAMBIA, 995 : GEORGIA, 49 : GERMANY, 233 : GHANA, 350 : GIBRALTAR, 30 : GREECE, 299 : GREENLAND, 1473 : GRENADA, 590 : GUADELOUPE, 1671 : GUAM, 502 : GUATEMALA, 1481 : GUERNSEY, 224 : GUINEA, 245 : GUINEA-BISSAU, 592 : GUYANA, 509 : HAITI, 1005 : HEARD ISLAND AND MCDONALD ISLANDS, 6 : HOLY SEE, 504 : HONDURAS, 852 : HONG KONG, 36 : HUNGARY, 354 : ICELAND, 91 : INDIA, 62 : INDONESIA, 98 : IRAN (ISLAMIC REPUBLIC OF), 964 : IRAQ, 353 : IRELAND, 1624 : ISLE OF MAN, 972 : ISRAEL, 5 : ITALY, 1876 : JAMAICA, 81 : JAPAN, 1534 : JERSEY, 962 : JORDAN, 7 : KAZAKHSTAN, 254 : KENYA, 686 : KIRIBATI, 850 : KOREA(DEMOCRATIC PEOPLE'S REPUBLIC OF), 82 : KOREA (REPUBLIC OF), 965 : KUWAIT, 996 : KYRGYZSTAN, 856 : LAO PEOPLE'S DEMOCRATIC REPUBLIC, 371 : LATVIA, 961 : LEBANON, 266 : LESOTHO, 231 : LIBERIA, 218 : LIBYA, 423 : LIECHTENSTEIN, 370 : LITHUANIA, 352 : LUXEMBOURG, 853 : MACAO, 389 : MACEDONIA(THE FORMER YUGOSLAV REPUBLIC OF), 261 : MADAGASCAR, 265 : MALAWI, 60 : MALAYSIA, 960 : MALDIVES, 223 : MALI, 356 : MALTA, 692 : MARSHALL ISLANDS, 596 : MARTINIQUE, 222 : MAURITANIA, 230 : MAURITIUS, 269 : MAYOTTE, 52 : MEXICO, 691 : MICRONESIA (FEDERATED STATES OF), 373 : MOLDOVA (REPUBLIC OF), 377 : MONACO, 976 : MONGOLIA, 382 : MONTENEGRO, 1664 : MONTSERRAT, 212 : MOROCCO, 258 : MOZAMBIQUE, 95 : MYANMAR, 264 : NAMIBIA, 674 : NAURU, 977 : NEPAL, 31 : NETHERLANDS, 687 : NEW CALEDONIA, 64 : NEW ZEALAND, 505 : NICARAGUA, 227 : NIGER, 234 : NIGERIA, 683 : NIUE, 15 : NORFOLK ISLAND, 1670 : NORTHERN MARIANA ISLANDS, 47 : NORWAY, 968 : OMAN, 92 : PAKISTAN, 680 : PALAU, 970 : PALESTINE, STATE OF, 507 : PANAMA, 675 : PAPUA NEW GUINEA, 595 : PARAGUAY, 51 : PERU, 63 : PHILIPPINES, 1011 : PITCAIRN, 48 : POLAND, 14 : PORTUGAL, 1787 : PUERTO RICO, 974 : QATAR, 262 : RÉUNION, 40 : ROMANIA, 8 : RUSSIAN FEDERATION, 250 : RWANDA, 1006 : SAINT BARTHÉLEMY, 290 :  SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA, 1869 : SAINT KITTS AND NEVIS, 1758 : SAINT LUCIA, 1007 : SAINT MARTIN (FRENCH PART), 508 : SAINT PIERRE AND MIQUELON, 1784 : SAINT VINCENT AND THE GRENADINES, 685 : SAMOA, 378 : SAN MARINO, 239 : SAO TOME AND PRINCIPE, 966 : SAUDI ARABIA, 221 : SENEGAL, 381 : SERBIA, 248 : SEYCHELLES, 232 : SIERRA LEONE, 65 : SINGAPORE, 1721 : SINT MAARTEN (DUTCH PART), 421 : SLOVAKIA, 386 : SLOVENIA, 677 : SOLOMON ISLANDS, 252 : SOMALIA, 28 : SOUTH AFRICA, 1008 : SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS, 211 : SOUTH SUDAN, 35 : SPAIN, 94 : SRI LANKA, 249 : SUDAN, 597 : SURINAME, 1012 : SVALBARD AND JAN MAYEN, 268 : SWAZILAND, 46 : SWEDEN, 41 : SWITZERLAND, 963 : SYRIAN ARAB REPUBLIC, 886 : TAIWAN, 992 : TAJIKISTAN, 255 : TANZANIA, UNITED REPUBLIC OF, 66 : THAILAND, 670 : TIMOR-LESTE (EAST TIMOR), 228 : TOGO, 690 : TOKELAU, 676 : TONGA, 1868 : TRINIDAD AND TOBAGO, 216 : TUNISIA, 90 : TURKEY, 993 : TURKMENISTAN, 1649 : TURKS AND CAICOS ISLANDS, 688 : TUVALU, 256 : UGANDA, 380 : UKRAINE, 971 : UNITED ARAB EMIRATES, 44 : UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND, 2 : UNITED STATES OF AMERICA, 1009 : UNITED STATES MINOR OUTLYING ISLANDS, 598 : URUGUAY, 998 : UZBEKISTAN, 678 : VANUATU, 58 : VENEZUELA (BOLIVARIAN REPUBLIC OF), 84 : VIET NAM, 1284 : VIRGIN ISLANDS (BRITISH), 1340 : VIRGIN ISLANDS (U.S.), 681 : WALLIS AND FUTUNA, 1013 : WESTERN SAHARA, 967 : YEMEN, 260 : ZAMBIA, 263 : ZIMBABWE, 9999 : OTHERS "
ITR.ITR4.IncomeDeductions.PropertyDetails[].AddressDetailWithZipCode.PinCode,integer,N,"{""minimum"":100000,""maximum"":999999,""exclusiveMinimum"":false,""pattern"":""[1-9]{1}[0-9]{5}""}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].AddressDetailWithZipCode.ZipCode,string,N,"{""maxLength"":8,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].PropertyOwner,string,Y,"{""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""enum"":[""SE"",""MI"",""SP"",""OT""]}",SE - Self; MI - Minor; SP - Spouse; OT - Others
ITR.ITR4.IncomeDeductions.PropertyDetails[].PropertyOwnerOther,string,N,"{""maxLength"":50,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].PropCoOwnedFlg,string,Y,"{""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""enum"":[""YES"",""NO""]}",Property co-owned by other than the taxpayer
ITR.ITR4.IncomeDeductions.PropertyDetails[].AsseseeShareProperty,number,N,"{""minimum"":0,""maximum"":100,""exclusiveMinimum"":false,""exclusiveMaximum"":false,""multipleOf"":0.01}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners,array,N,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners[],object,Y,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners[].CoOwnersSNo,integer,Y,"{""minimum"":1,""maximum"":99999999999999}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners[].NameCoOwner,string,Y,"{""minLength"":1,""maxLength"":125,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners[].PAN_CoOwner,string,N,"{""minLength"":10,""maxLength"":10,""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[A-Z]{5}[0-9]{4}[A-Z]""]}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners[].Aadhaar_CoOwner,string,N,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[0-9]{12}""]}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].CoOwners[].PercentShareProperty,number,N,"{""minimum"":0,""maximum"":100,""exclusiveMinimum"":false,""exclusiveMaximum"":false,""multipleOf"":0.01}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].ifLetOut,string,Y,"{""maxLength"":1,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""enum"":[""L"",""D"",""S""],""default"":""Y""}",L - Let Out; D - Deemed let out; S - Self Occupied
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails,array,N,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails[],object,Y,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails[].TenantSNo,integer,Y,"{""minimum"":1,""maximum"":99999999999999}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails[].NameofTenant,string,Y,"{""minLength"":1,""maxLength"":125,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails[].PANofTenant,string,N,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[A-Z]{5}[0-9]{4}[A-Z]""]}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails[].AadhaarofTenant,string,N,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[0-9]{12}""]}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].TenantDetails[].PANTANofTenant,string,N,"{""allOfPatterns"":[""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""[A-Z]{4}[0-9]{5}[A-Z]|[A-Z]{5}[0-9]{4}[A-Z]""]}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails,object,N,,Rent Details
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.AnnualLetableValue,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.RentNotRealized,integer,N,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.LocalTaxes,integer,N,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.TotalUnrealizedAndTax,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.BalanceALV,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.AnnualOfPropOwned,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.ThirtyPercentOfBalance,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.IntOnBorwCap,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",Interest payable on borrowed capital
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B,object,N,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls,array,Y,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[],object,Y,,
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].LoanTknFrom,string,Y,"{""enum"":[""B"",""I""]}","B: Bank, I: Other than Bank"
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].BankOrInstnName,string,Y,"{""minLength"":1,""maxLength"":125,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].LoanAccNoOfBankOrInstnRefNo,string,Y,"{""minLength"":1,""maxLength"":20,""allOfPatterns"":["".*[0-9]"","".*[1-9].*""]}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].DateofLoan,string,Y,"{""pattern"":""([12]\\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\\d|3[01]))""}",Date in YYYY-MM-DD format
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].TotalLoanAmt,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].LoanOutstndngAmt,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.Section24BDtls[].InterestUs24B,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.Section24B.TotalInterestUs24B,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.TotalDeduct,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",interest plus 30% of balanace
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.ArrearsUnrealizedRentRcvd,integer,N,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false,""default"":0}",
ITR.ITR4.IncomeDeductions.PropertyDetails[].Rentdetails.IncomeOfHP,integer,Y,"{""minimum"":-99999999999999,""maximum"":99999999999999,""default"":0}",
ITR.ITR4.IncomeDeductions.TotalIncomeChargeableUnHP,integer,Y,"{""maximum"":99999999999999,""default"":0}",House Property income
ITR.ITR4.IncomeDeductions.IncomeOthSrc,integer,Y,"{""maximum"":99999999999999,""default"":0}",
ITR.ITR4.IncomeDeductions.OthersInc,object,N,,
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc,array,N,,
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[],object,Y,,
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].OthSrcNatureDesc,string,Y,"{""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)"",""enum"":[""SAV"",""IFD"",""TAX"",""FAP"",""DIV"",""10(11)(iP)"",""10(11)(iiP)"",""10(12)(iP)"",""10(12)(iiP)"",""OTH""]}",SAV : Interest from Saving Account; IFD : Interest from Deposit(Bank/Post Office/Cooperative Society); TAX : Interest from Income Tax Refund; FAP : Family pension; DIV : Dividend; 10(11)(iP) : Interest accrued on contributions to provident fund to the extent taxable as per first proviso to section 10(11); 10(11)(iiP) : Interest accrued on contributions to provident fund to the extent taxable as per second proviso to section 10(11); 10(12)(iP) : Interest accrued on contributions to provident fund to the extent taxable as per first proviso to section 10(12); 10(12)(iiP) : Interest accrued on contributions to provident fund to the extent taxable as per second proviso to section 10(12); OTH : Any Other
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].OthSrcOthNatOfInc,string,N,"{""maxLength"":125,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].OthSrcOthAmount,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc,object,N,,
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange,object,Y,,
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Upto15Of6,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Upto15Of9,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Up16Of9To15Of12,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Up16Of12To15Of3,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.OthersInc.OthersIncDtlsOthSrc[].DividendInc.DateRange.Up16Of3To31Of3,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.DeductionUs57iia,integer,N,"{""minimum"":0,""maximum"":25000,""exclusiveMinimum"":false,""exclusiveMaximum"":false}",
ITR.ITR4.IncomeDeductions.GrossTotIncome,integer,Y,"{""maximum"":99999999999999,""default"":0}",Gross Total Income without LTCG u/s 112A
ITR.ITR4.IncomeDeductions.GrossTotIncomeIncLTCG112A,integer,Y,"{""maximum"":99999999999999,""default"":0}",Gross Total Income including LTCG u/s 112A
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA,object,Y,,Deductions from income
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.Section80C,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.Section80CCC,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC,array,N,,
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC[],object,Y,,
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC[].TypeofIdentifier,string,Y,"{""enum"":[""PRAN"",""OTHPRAN""]}",PRAN: PRAN; OTHPRAN: Other than PRAN
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC[].NameofIdentifier,string,Y,"{""minLength"":1,""maxLength"":125,""pattern"":""|(\\s*([\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""][\\s\\w\\d_=!@#$%\\^*\\(\\){}\\[\\]\\|\\\\:;',\\.\\?/~`\\-\\+<>&\""]*)\\s*)""}",
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.PensionContribution80CCC[].Amount,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",
ITR.ITR4.IncomeDeductions.UsrDeductUndChapVIA.Section80CCDEmployeeOrSE,integer,Y,"{""minimum"":0,""maximum"":99999999999999,""exclusiveMinimum"":false}",For Employee/SelfEmployed
